adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/jDb3VV38z6wOdKbGA9jn1bagnfC.jpg,"{'id': 1090373, 'name': 'My Spy Collection', 'poster_path': '/kC0TeCKr0w9i6auc8LDowqSw6v0.jpg', 'backdrop_path': '/wm7LzOLfDzW9xEEozRI0smG4Ky.jpg'}",18000000,"[{'id': 10751, 'name': 'Family'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",http://www.stxfilms.com/myspy/,592834,tt8242084,['US'],en,My Spy,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.",13.325,/n2C6jRK9PtPIs99RQhKtqGlsnsO.jpg,"[{'id': 47729, 'logo_path': '/bAxh897TGgdR0Py6wdd0UuE147Z.png', 'name': 'STXfilms', 'origin_country': 'US'}, {'id': 36209, 'logo_path': '/gcXCMxpFaYt3p2bT36rfThhKeG3.png', 'name': 'MWM Studios', 'origin_country': 'US'}, {'id': 103698, 'logo_path': '/qS01bSMe274ecTdrgyO3BBvzfKK.png', 'name': 'Good Fear', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-01-09,10200000,99,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Almost totally in control.,My Spy,False,6.871,1324
False,/en1XAePgWqNSXb82luUMmo5u3cF.jpg,,5000000,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",https://gretelandhanselthemovie.com/,542224,tt9086228,['US'],en,Gretel & Hansel,"A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil.",12.7783,/mBBBXseq4k4dI63k06XIrsc02j8.jpg,"[{'id': 7625, 'logo_path': '/kzq4ibnNeZrp00zpBWv3st1QCOh.png', 'name': 'Automatik Entertainment', 'origin_country': 'US'}, {'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}, {'id': 267168, 'logo_path': '/xAot4SSOIHiWQ2WEnVXYGR1lce9.png', 'name': 'Orion Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-01-30,22304357,87,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A grim fairy tale.,Gretel & Hansel,False,6.0,1506
False,/rQaHA74pevnGsxcKGaoZVGWe9TC.jpg,,150000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",https://www.disneyplus.com/movies/soul/77zlWrb9vRYp,508442,tt2948372,['US'],en,Soul,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",12.7142,/pEz5aROvfy5FBW1OTlrDO3VryWO.jpg,"[{'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-12-25,121977511,101,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Everybody has a soul. Joe Gardner is about to find his.,Soul,False,8.102,11014
False,/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,"{'id': 925155, 'name': 'Demon Slayer: Kimetsu no Yaiba Collection', 'poster_path': '/3exjjYTseefny9nYjSbkIblZZdK.jpg', 'backdrop_path': '/oHx043lHsysn8klll1nPvKMBHLf.jpg'}",15700000,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",https://demonslayer-anime.com,635302,tt11032374,['JP'],ja,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",11.985,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,"[{'id': 5887, 'logo_path': '/m6FEqz8rQECnmfjEwjNhNAlmhCJ.png', 'name': 'ufotable', 'origin_country': 'JP'}, {'id': 2883, 'logo_path': '/rDYExnBV61jGQnkhVVrPN4Yl7O1.png', 'name': 'Aniplex', 'origin_country': 'JP'}, {'id': 2918, 'logo_path': '/gyEWUBWwqrm3H5T2hkERD9LxpOq.png', 'name': 'Shueisha', 'origin_country': 'JP'}, {'id': 882, 'logo_path': '/fRSWWjquvzcHjACbtF53utZFIll.png', 'name': 'TOHO', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2020-10-16,523542183,117,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,"With your blade, bring an end to the nightmare.",Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,False,8.2,4310
False,/an4UrbuWK7TEOeur9TesuMzqSYC.jpg,,23000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",https://www.paramountmovies.com/movies/jiu-jitsu,590706,tt9624766,['US'],en,Jiu Jitsu,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",10.4868,/eLT8Cu357VOwBVTitkmlDEg32Fs.jpg,"[{'id': 141998, 'logo_path': None, 'name': 'Acme Rocket Fuel', 'origin_country': 'US'}, {'id': 138013, 'logo_path': '/yEjnTczKifm6nzAs1RvX0Z55Mnq.png', 'name': 'Green Olive Films', 'origin_country': 'CY'}, {'id': 147219, 'logo_path': None, 'name': 'Double Tree Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'CY', 'name': 'Cyprus'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-11-20,99924,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Burmese', 'iso_639_1': 'my', 'name': ''}]",Released,"From the darkness, the ultimate fighter rises.",Jiu Jitsu,False,4.814,641
False,/zlqMASc3vEtdym2OvXgE7fC6onT.jpg,,42000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",https://www.sonypictures.com/movies/bloodshot,338762,tt1634106,['US'],en,Bloodshot,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",10.0164,/8WUVHemHFH2ZIP6NWkwlHWsyrEL.jpg,"[{'id': 10246, 'logo_path': '/rREvQNWAxkDfY9CDn2c5YxEMPdP.png', 'name': 'Cross Creek Pictures', 'origin_country': 'US'}, {'id': 333, 'logo_path': '/5xUJfzPZ8jWJUDzYtIeuPO4qPIa.png', 'name': 'Original Film', 'origin_country': 'US'}, {'id': 30148, 'logo_path': '/zerhOenUD6CkH8SMgZUhrDkOs4w.png', 'name': 'Bona Film Group', 'origin_country': 'CN'}, {'id': 103673, 'logo_path': '/1KOt0I6HFzRISlFgvtcH4GqLG2o.png', 'name': 'The Hideaway Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-03-05,39861118,110,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Being a superhero is in his blood,Bloodshot,False,6.696,5123
False,/yY76zq9XSuJ4nWyPDuwkdV7Wt0c.jpg,,205000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://www.tenetfilm.com/,577922,tt6723592,"['US', 'GB']",en,Tenet,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",9.746,/aCIFMriQh8rvhxpN1IWGgvH0Tlg.jpg,"[{'id': 174, 'logo_path': '/ingPVoHnINIrFR7WHmYux1f5pES.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 9996, 'logo_path': '/3tvBqYsBhxWeHlu62SIJ1el93O7.png', 'name': 'Syncopy', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-08-22,365304105,150,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Estonian', 'iso_639_1': 'et', 'name': 'Eesti'}]",Released,Time runs out.,Tenet,False,7.176,10593
False,/1GyjyL1xFXHQKP8ztci2BPZbFUS.jpg,"{'id': 758369, 'name': 'The Craft Collection', 'poster_path': '/6gblwKfs6KSPdB2xVXKbpA8CfQM.jpg', 'backdrop_path': '/rGF759srlDV2gdwBDpRLbN3Rv6m.jpg'}",18000000,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",https://www.sonypictures.com/movies/blumhousesthecraftlegacy,590995,tt4685762,['US'],en,The Craft: Legacy,An eclectic foursome of aspiring teenage witches get more than they bargained for as they lean into their newfound powers.,8.9533,/lhMIra0pqWNuD6CIXoTmGwZ0EBS.jpg,"[{'id': 3172, 'logo_path': '/rzKluDcRkIwHZK2pHsiT667A2Kw.png', 'name': 'Blumhouse Productions', 'origin_country': 'US'}, {'id': 14440, 'logo_path': '/gk9zllyMFnaVBWTdZpm7VcfQrHC.png', 'name': 'Red Wagon Entertainment', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-10-28,2300000,94,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,The ritual begins again,The Craft: Legacy,False,6.1,868
False,/owTL741kAuvJDKYnXKJCgTRGRud.jpg,,2500000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",http://rhombusmedia.com/film/possessor/,435615,tt5918982,"['CA', 'GB']",en,Possessor,"Tasya Vos, an elite corporate assassin, uses brain-implant technology to take control of other people’s bodies to terminate high profile targets. As she sinks deeper into her latest assignment, Vos becomes trapped inside a mind that threatens to obliterate her.",8.6141,/xC9GZeJZ3NagdkGg9nLQx0aPG6J.jpg,"[{'id': 290, 'logo_path': '/jrgCuaQsY9ouP5ILZf4Dq4ZOkIX.png', 'name': 'Ingenious Media', 'origin_country': 'GB'}, {'id': 164, 'logo_path': '/v3zcUepvKC7Vz36yjklk1rw6k8Q.png', 'name': 'Rhombus Media', 'origin_country': 'CA'}, {'id': 16853, 'logo_path': '/ihiEwwDAc8ghtdNxpMp0T34OhIi.png', 'name': 'Rook Films', 'origin_country': 'GB'}, {'id': 806, 'logo_path': '/kcNh09qqR2Pkw1JAzRW4CommrW4.png', 'name': 'Téléfilm Canada', 'origin_country': 'CA'}, {'id': 2520, 'logo_path': None, 'name': 'Arclight Films', 'origin_country': 'US'}, {'id': 114338, 'logo_path': '/iApSXPfwHZdtt3sR2y5VDoS2BRK.png', 'name': 'Ontario Creates', 'origin_country': 'CA'}, {'id': 119056, 'logo_path': '/vbhwOf0TQ4z12GIytYGWmhPJAOz.png', 'name': 'Particular Crowd', 'origin_country': 'US'}, {'id': 157740, 'logo_path': '/psBLfwHCfU9A4U9bWmeWF8AlSqr.png', 'name': 'Crave', 'origin_country': 'CA'}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-10-02,911000,103,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,No body is safe.,Possessor,False,6.396,980
False,/dW6yBuKwiMeronJZw8kozYLMorB.jpg,,200000000,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]",https://movies.disney.com/onward,508439,tt7146812,['US'],en,Onward,"In a suburban fantasy world, two teenage elf brothers embark on an extraordinary quest to discover if there is still a little magic left out there.",8.4082,/f4aul3FyD3jv3v4bul1IrkWZvzq.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 3, 'logo_path': '/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png', 'name': 'Pixar', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-02-29,141888276,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Their quest beginneth.,Onward,False,7.654,6402
